"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",183,1,1,0,1,4,1,1,2,0.0567010309278351
"Electronic",2,1271,36,85,9,20,3,44,125,0.203134796238244
"Folk",3,33,432,1,5,6,0,14,49,0.204419889502762
"Hip-Hop",0,15,11,460,3,0,0,6,27,0.118773946360153
"International",0,0,0,0,64,1,0,0,0,0.0153846153846153
"Jazz",2,2,8,0,0,80,0,1,2,0.157894736842105
"Old-Time / Historic",0,0,0,0,1,0,246,0,1,0.00806451612903225
"Pop",0,2,0,2,0,0,0,84,1,0.0561797752808989
"Rock",2,205,134,62,14,44,1,102,2517,0.183057448880234
