"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class accuracy"
"Classical",34,10,6,1,0,3,0,0,7,0.557377049180328
"Electronic",0,149,1,19,0,4,0,2,35,0.70952380952381
"Folk",2,17,83,3,1,7,0,4,45,0.512345679012346
"Hip-Hop",0,61,6,113,2,2,0,5,25,0.52803738317757
"International",0,3,1,0,15,2,0,0,7,0.535714285714286
"Jazz",0,4,1,2,0,19,0,0,11,0.513513513513513
"Old-Time / Historic",0,1,5,0,0,0,48,0,2,0.857142857142857
"Pop",0,39,7,8,1,2,0,20,61,0.144927536231884
"Rock",0,22,9,5,0,7,0,15,414,0.877118644067797
